date,open,high,low,close,adj_close,volume,stock
2019-07-15,204.089996,205.869995,204.0,205.210007,202.78981,16947400,AAPL
2019-07-16,204.589996,206.110001,203.5,204.5,202.088181,16866800,AAPL
2019-07-17,204.050003,205.089996,203.270004,203.350006,200.951736,14107500,AAPL
2019-07-18,204.0,205.880005,203.699997,205.660004,203.234497,18582200,AAPL
2019-07-19,205.789993,206.5,202.360001,202.589996,200.200699,20929300,AAPL
2019-07-22,203.649994,207.229996,203.610001,207.220001,204.776108,22277900,AAPL
2019-07-23,208.460007,208.910004,207.289993,208.839996,206.376984,18355200,AAPL
2019-07-24,207.669998,209.149994,207.169998,208.669998,206.209015,14991600,AAPL
2019-07-25,208.889999,209.240005,206.729996,207.020004,204.578476,13909600,AAPL
2019-07-26,207.479996,209.729996,207.139999,207.740005,205.289978,17618900,AAPL
2019-07-29,208.460007,210.639999,208.440002,209.679993,207.207077,21673400,AAPL
2019-07-30,208.759995,210.160004,207.309998,208.779999,206.317688,33935700,AAPL
2019-07-31,216.419998,221.369995,211.300003,213.039993,210.527466,69281400,AAPL
2019-08-01,213.899994,218.029999,206.740005,208.429993,205.971817,54017900,AAPL
2019-08-02,205.529999,206.429993,201.630005,204.020004,201.613846,40862100,AAPL
2019-08-05,197.990005,198.649994,192.580002,193.339996,191.059784,52393000,AAPL
2019-08-06,196.309998,198.070007,194.039993,197.0,194.67662,35824800,AAPL
2019-08-07,195.410004,199.559998,193.820007,199.039993,196.692566,33364400,AAPL
2019-08-08,200.199997,203.529999,199.389999,203.429993,201.030792,27009500,AAPL
2019-08-09,201.300003,202.759995,199.289993,200.990005,199.374222,24619700,AAPL
2019-08-12,199.619995,202.050003,199.149994,200.479996,198.868317,22474900,AAPL
2019-08-13,201.020004,212.139999,200.479996,208.970001,207.290085,47218500,AAPL
2019-08-14,203.160004,206.440002,202.589996,202.75,201.120071,36547400,AAPL
2019-08-15,203.460007,205.139999,199.669998,201.740005,200.118195,27227400,AAPL
2019-08-16,204.279999,207.160004,203.839996,206.5,204.83992,27620400,AAPL
2019-08-19,210.619995,212.729996,210.029999,210.350006,208.658981,24413600,AAPL
2019-08-20,210.880005,213.350006,210.320007,210.360001,208.6689,26884300,AAPL
2019-08-21,212.990005,213.649994,211.600006,212.639999,210.930573,21535400,AAPL
2019-08-22,213.190002,214.440002,210.75,212.460007,210.752029,22253700,AAPL
2019-08-23,209.429993,212.050003,201.0,202.639999,201.010971,46818000,AAPL
2019-08-26,205.860001,207.190002,205.059998,206.490005,204.830002,26043600,AAPL
2019-08-27,207.860001,208.550003,203.529999,204.160004,202.518738,25873300,AAPL
2019-08-28,204.100006,205.720001,203.320007,205.529999,203.877731,15938800,AAPL
2019-08-29,208.5,209.320007,206.660004,209.009995,207.329742,20990500,AAPL
2019-08-30,210.160004,210.449997,207.199997,208.740005,207.06192,21143400,AAPL
2019-09-03,206.429993,206.979996,204.220001,205.699997,204.046341,20023000,AAPL
2019-09-04,208.389999,209.479996,207.320007,209.190002,207.508316,19188100,AAPL
2019-09-05,212.0,213.970001,211.509995,213.279999,211.565414,23913700,AAPL
2019-09-06,214.050003,214.419998,212.509995,213.259995,211.545578,19362300,AAPL
2019-09-09,214.839996,216.440002,211.070007,214.169998,212.448273,27309400,AAPL
2019-09-10,213.860001,216.779999,211.710007,216.699997,214.957916,31777900,AAPL
2019-09-11,218.070007,223.710007,217.729996,223.589996,221.792542,44289600,AAPL
2019-09-12,224.800003,226.419998,222.860001,223.089996,221.296555,32226700,AAPL
2019-09-13,220.0,220.789993,217.020004,218.75,216.991455,39763300,AAPL
2019-09-16,217.729996,220.130005,217.559998,219.899994,218.132202,21158100,AAPL
2019-09-17,219.960007,220.820007,219.119995,220.699997,218.925781,18318700,AAPL
2019-09-18,221.059998,222.850006,219.440002,222.770004,220.979141,25340000,AAPL
2019-09-19,222.009995,223.759995,220.369995,220.960007,219.183701,22060600,AAPL
2019-09-20,221.380005,222.559998,217.470001,217.729996,215.97963,55413100,AAPL
2019-09-23,218.949997,219.839996,217.649994,218.720001,216.961685,19165500,AAPL
2019-09-24,221.029999,222.490005,217.190002,217.679993,215.930038,31190800,AAPL
2019-09-25,218.550003,221.5,217.139999,221.029999,219.253113,21903400,AAPL
2019-09-26,220.0,220.940002,218.830002,219.889999,218.122284,18833500,AAPL
2019-09-27,220.539993,220.960007,217.279999,218.820007,217.060898,25352000,AAPL
2019-09-30,220.899994,224.580002,220.789993,223.970001,222.169479,25977400,AAPL
2019-10-01,225.070007,228.220001,224.199997,224.589996,222.7845,34805800,AAPL
2019-10-02,223.059998,223.580002,217.929993,218.960007,217.199768,34612300,AAPL
2019-10-03,218.429993,220.960007,215.130005,220.820007,219.0448,28606500,AAPL
2019-10-04,225.639999,227.490005,223.889999,227.009995,225.185043,34619700,AAPL
2019-10-07,226.270004,229.929993,225.839996,227.059998,225.234634,30576500,AAPL
2019-10-08,225.820007,228.059998,224.330002,224.399994,222.596024,27955000,AAPL
2019-10-09,227.029999,227.789993,225.639999,227.029999,225.204895,18692600,AAPL
2019-10-10,227.929993,230.440002,227.300003,230.089996,228.24028,28253400,AAPL
2019-10-11,232.949997,237.639999,232.309998,236.210007,234.311081,41698900,AAPL
2019-10-14,234.899994,238.130005,234.669998,235.869995,233.973816,24106900,AAPL
2019-10-15,236.389999,237.649994,234.880005,235.320007,233.428253,21840000,AAPL
2019-10-16,233.369995,235.240005,233.199997,234.369995,232.48587,18475800,AAPL
2019-10-17,235.089996,236.149994,233.520004,235.279999,233.388565,16896300,AAPL
2019-10-18,234.589996,237.580002,234.289993,236.410004,234.509491,24358400,AAPL
2019-10-21,237.520004,240.990005,237.320007,240.509995,238.576508,21811800,AAPL
2019-10-22,241.160004,242.199997,239.619995,239.960007,238.030945,20573400,AAPL
2019-10-23,242.100006,243.240005,241.220001,243.179993,241.225052,18957200,AAPL
2019-10-24,244.509995,244.800003,241.809998,243.580002,241.621826,17318800,AAPL
2019-10-25,243.160004,246.729996,242.880005,246.580002,244.597717,18369300,AAPL
2019-10-28,247.419998,249.25,246.720001,249.050003,247.047867,24143200,AAPL
2019-10-29,248.970001,249.75,242.570007,243.289993,241.334152,35709900,AAPL
2019-10-30,244.759995,245.300003,241.210007,243.259995,241.304398,31130500,AAPL
2019-10-31,247.240005,249.169998,237.259995,248.759995,246.760193,34790500,AAPL
2019-11-01,249.539993,255.929993,249.160004,255.820007,253.763443,37781300,AAPL
2019-11-04,257.329987,257.850006,255.380005,257.5,255.429932,25818000,AAPL
2019-11-05,257.049988,258.190002,256.320007,257.130005,255.062927,19974400,AAPL
2019-11-06,256.769989,257.48999,255.369995,257.23999,255.172012,18966100,AAPL
